"Име на фирма","Седалище","Дейности","Адрес на аптека - град","Адрес на аптека","Дата","№/№ промяна","Адрес на управление","Ръководител","пом.-фарм.","latitude","longitude"
"ГАЛЕН РУСЕ ЕООД","гр. Русе 7012","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Русе","бул. Цар Освободител № 108","2014-03-24T00:00:00","АП-642","ул. Тодор Каблешков № 9","Алекси Иванов Цветанов","","43.8432733","25.960636"
"САЛВИЯ-10 ООД","гр. Велико Търново 5000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Велико Търново","ул. Васил Левски № 6-запад","2014-03-24T00:00:00","АП-643","ул. Никола Габровски № 30","Десислава Димитрова Костова","","43.0813917","25.6312084"
"ПЕГАС МС ООД","гр. Бургас 8000","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. Бургас","ул. Фердинандова № 5","2014-03-24T00:00:00","АП-644","ул. Възраждане № 12","Иван Бонков Караджов","","42.493637","27.4712489"
"АБВ 78 ЕООД","гр. София 1229","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","район Искър, ж.к. Дружба, кв. 18, бл. 186, вх. Б","2014-03-25T00:00:00","АП-645","ж.к. Надежда-3, бл. 310, вх. А, ет. 7, ап. 19","Лидия Георгиева Беломорска","","42.6675232","23.3947637"
"ФАРМА ЛЕК ЛОВЕЧ 1 ООД","гр. Плевен 5800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Луковит","ул. Възраждане № 67","2014-03-25T00:00:00","АП-646","ул. Георги Кочев № 57","Иван Николаев Банзурков","","43.2030851","24.1641251"
"ВМСФАРМ ЕООД","гр. Русе 7000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Русе","ул. Тулча-покрит пазар","2014-03-26T00:00:00","АП-647","бул. Мидия Енос № 9, вх. 1, ет. 5, ап. 24","Величка Стойчева Златева-Господинова","","43.83557130000001","25.9656554"
"ФАРМАМЕД ГД ЕООД","гр. Бургас 8000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Бургас","ж.к. Меден Рудник, бл. 399, вх. 1, партер","2014-03-26T00:00:00","АП-648","ж.к. Изгрев, бл. 121, ет 4, ап. 16","Иванка Тодорова Чора","","42.50479259999999","27.4626361"
"ВИРА 2014 ООД","гр. София 1404","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. София","район Слатина, ул. Иван Димитров -куклата № 4","2014-03-26T00:00:00","АП-649","район Триадица, ж.к. Гоце Делчев, бл.110, вх. А, ет. 2, ап. 4","Вихрен Веселинов Манев","","42.6800548","23.3713075"
"ВИХРЕН ФАРМА ЕООД","гр. София 1618","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","бул. Никола Петков № 52","2014-01-04T00:00:00","АП-651","бул. България № 118, ет. 2, бизнес център Абакус","Елеонора Михайлова Михайлова","","42.672922","23.2488815"
"МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ СВЕТИ ИВАН РИЛСКИ ЕООД","гр. Стара Загора 6000","аптека на лечебно заведение за болнична помощ с изключение на приготвяни по магистрална и фармакопейна рецептура лекарствени продукти","гр. Стара Загора","ул. Дунав № 12","2014-04-04T00:00:00","АП-653","ул. Патриарх Евтимий № 84","Минко Борисов Гатев","","42.43253840000001","25.6189285"
"КРАСИМИРА ШУШИНА ЕООД","гр. София 1618","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Силистра","ул. Н. Й. Вапцаров № 8","2014-07-04T00:00:00","АП-654","ул. Вихрен № 34","Севдим Ердинч Ахмед","","44.11188629999999","27.2522932"
"НИКИ ХЕЛТ ЕООД","с. Нивянин 3241","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. Бяла Слатина","ул. Димитър Благоев № 77","2014-07-04T00:00:00","АП-655","ул. Иван Нивянин № 24","Красимир Георгиев Костов","","43.4708962","23.9409402"
"МУЛТИТРЕЙД ВАРНА ЕООД","гр. Варна 9000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Хасково","ул. Преслав № 23","2014-07-04T00:00:00","АП-656","ул. Владая № 11, ет. 1, ап. 1","Галин Манолов Несторов","","41.9307358","25.5526335"
"ТОДОРОВИ ФАРМА ЕООД","гр. София 1336","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ж.к. Люлин-3, бл. 385, маг. 1","2014-09-05T00:00:00","АП-700","ж.к. Люлин-3, бл. 385, вх. А, ет. 5, ап.20","Тодор Гошев Тодоров","","42.6977082","23.3218675"
"ВИХРЕН ФАРМА ЕООД","гр. София 1618","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Плевен","ул. Иван Миндиликов № 1, МОЛ Панорама Плевен","2014-07-04T00:00:00","АП-657","бул. България, бизнес център Абакус 118, ет. 2","Светлин Георгиев Карапетров","","43.4170423","24.6066847"
"ФАРМЕКСПЕРТ ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Гълъбово","кв. Съединение, бл. 11","2014-10-04T00:00:00","АП-658","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Желка Желева Петрова","","42.1357845","25.8651308"
"РА - 2008 ЕООД","гр. София 1000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","район Студенски, ул. Арсо Пандурски № 4, Студентска поликлиника","2014-10-04T00:00:00","АП-659","ул. Цар Самуил № 28, ет. 2, ап. 7","Дима Белкова Тодорова","","42.6977082","23.3218675"
"ФАРМА ЛЕК ВИДИН ЕООД","гр. Плевен 5800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Видин","ул. Цар Симеон Велики № 9","2014-04-14T00:00:00","АП-660","ул. Цар Симеон Велики № 9","Щерьо Михайлов Гиев","","43.9857782","22.8758316"
"МЛАДОСТ ФАРМА ЕООД","гр. София 1715","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ж.к. Младост 4, ул. 406 № 14, Магазин Билла","2014-04-14T00:00:00","АП-661","ж.к. Младост 4, ул. 475, вх. В, ап. 40","Веска Маринова Бърнекова","","42.6296322","23.3811973"
"МЕАЦА ЕООД","гр. Кърджали 6600","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Кърджали","бул. Христо Ботев № 55","2014-04-14T00:00:00","АП-662","бул. Христо Ботев - ресторант Меаца","Тодор Чанков Митрев","","41.6372755","25.3541506"
"САНИТАФАРМ ЕООД","гр. Царево 8260","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Царево","ул. Хан Аспарух № 26","2014-05-13T00:00:00","АП-713","ул. Екзарх Йосиф № 26","Росица Христова Тодорова","","42.1715139","27.8533932"
"АЛФА ХЕЛТ ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Пловдив","бул. България № 61","2014-04-15T00:00:00","АП-663","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Мая Калоферова Калоферова","","42.1588734","24.7385889"
"ВИВАФАРМ 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Луковит","ул. Златна Панега № 22","2014-04-16T00:00:00","АП-664","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Стилиян Лилянов Кацаров","","43.2045852","24.163874"
"ВИВАФАРМ 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Троян","ул. Васил Левски № 184","2014-04-16T00:00:00","АП-665","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Вергиния Иванова Дочева","","42.893398","24.7125086"
"ВИВАФАРМ 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Ловеч","ул. Димитър Пъшков № 22 А","2014-04-16T00:00:00","АП-666","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Виолета Георгиева Цанкова","","43.1365287","24.7142509"
"ВИВАФАРМ 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Плевен","ул. Васил Левски № 192","2014-04-16T00:00:00","АП-667","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Тодорка Митева Райкова","","43.4119852","24.6159577"
"ВАРНАМЕД 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Нова Загора","ул. Васил Левски № 44","2014-04-16T00:00:00","АП-668","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Еленка Александрова Михайлова","","42.4936347","26.0085439"
"ВАРНАМЕД 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Сливен","ул. Георги Икономов № 16","2014-04-16T00:00:00","АП-669","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Мария Михайлова Иванова","","42.6793217","26.3100618"
"МАРИЙКА ЖЕЙГАРОВА ЕООД","гр. София 1618","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Ловеч","бул. България № 1","2014-04-16T00:00:00","АП-670","район Витоша, ул. Вихрен № 34","Геновева Стоянова Добрева-Илиева","","43.1352125","24.7164472"
"ПЕГАС МС ООД","гр. Бургас 8000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Бургас","ул. Александровска № 83","2014-04-17T00:00:00","АП-671","ул. Възраждане № 12","Маргарита Николова Янева - Панделиева","","42.4957842","27.4717328"
"ОРХИС ЕООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ж.к. Обеля-2, XXX ДКЦ","2014-04-17T00:00:00","АП-672","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Димитър Иванов Бекяров","","42.6977082","23.3218675"
"ФАРМ БЪЛГАРИЯ ЕООД","гр. Варна 9000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Варна","ул. Цар Симеон I № 18","2014-04-17T00:00:00","АП-673","ул. Братя Георгиевич № 35, вх. А, ап. 10","Стефка Иванова Господинова","","43.2018637","27.9123601"
"САГБАЛ Д-Р ЩЕРЕВ ЕООД","гр. София 1330","аптека на лечебно заведение за болнична помощ с приготвяне на лекарствени продукти по магистрална и фармакопейна рецептура, с изключение на лекарствени форми за очи и разтвори за парентерално приложение","гр. София","ул. Христо Благоев № 25-31","2014-04-17T00:00:00","АП-675","ул. Христо Благоев № 25-31","Милена Пламенова Алексиева-Суруджийска","","42.7000888","23.2874298"
"МЕДИСОФТ 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Пловдив","ул. Любен Каравелов № 6","2014-04-17T00:00:00","АП-676","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Лазар Николаев Николов","","42.1403891","24.7405578"
"МЕДИСОФТ 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Пловдив","ул. Васил Априлов № 98","2014-04-17T00:00:00","АП-677","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Радина Стоянова Кюркчийска","","42.1472669","24.7315882"
"МЕДИСОФТ 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Пловдив","ул. Георги С. Раковски № 3","2014-04-17T00:00:00","АП-678","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Людмила Леонидовна Ихтиманлийска","","42.14503819999999","24.7539921"
"МЕДИСОФТ 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Карлово","ул. Васил Караиванов № 1","2014-04-17T00:00:00","АП-679","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Румяна Димитрова Василева","","42.63933859999999","24.8026308"
"ВАРНАМЕД 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Русе","ул. Петко Д. Петков № 6","2014-04-17T00:00:00","АП-680","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Даниела Николова Дончева","","43.8495336","25.9560615"
"МИРАКС-М. РАДЕВ ЕООД","гр. Плевен 5800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Долна Митрополия","ул. Св. Св. Кирил и Методий № 66 Б","2014-04-17T00:00:00","АП-681","ул. Княз Борис І № 10","Цветана Вутева Славчева","","43.4680701","24.5193991"
"МУЛТИТРЕЙД ВАРНА ЕООД","гр. Варна 9000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Плевен","бул. Данаил Попов № 15","2014-04-22T00:00:00","АП-682","район Одесос, ул. Владая № 11, ет. 1, ап.1","Милена Гълъбинова Ангелова","","43.4139467","24.6169901"
"ЛИДЕРФАРМ 2014 ЕООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Първомай","ул. Орфей № 2","2014-04-22T00:00:00","АП-683","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Нели Иванова Иванова","","42.0969057","25.2204628"
"БИЛФАРМА ООД","гр. Плевен 5800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","бул. България, пл. Ручей № 1-Аптека 2","2014-04-25T00:00:00","АП-684","ул. Георги Кочев № 57","Ива Димитрова Калугерова","","42.6977082","23.3218675"
"ГЛАС ФАРМА ООД","гр. Плевен 5800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Сливница","ул. Паисий Хилендарски № 39 А","2014-04-25T00:00:00","АП-685","ул. Георги Кочев № 57","Илиан Светлозаров Шапкаджиев","","42.8519742","23.0378716"
"ЕВРОФАРМ АПТЕКИ ООД","гр. София 1700","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ж.к. Младост-1 А, бл. 537","2014-04-25T00:00:00","АП-686","район Студенски, ул. Акад. Борис Стефанов № 2","Димчо Ангелов Даскалов","","42.6500581","23.3858942"
"БИОФАРМ КОНСУЛТ ЕООД","гр. София 1164","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ж.к. Младост-1 А, бл. 50 А, вх. 2","2014-04-25T00:00:00","АП-687","район Лозенец, ул. Бигла № 24, ет. 5, ап. 15","Марина Огнянова Бакалова","","42.6523889","23.3777985"
"АЛФА ХЕЛТ ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Пловдив","ул. Храбрец № 18 А","2014-04-25T00:00:00","АП-688","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Елисавета Ангелова Зеленкова","","42.1508128","24.7837936"
"АЛФА ХЕЛТ ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Асеновград","ул. Васил Левски № 15","2014-04-25T00:00:00","АП-689","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Елена Стефанова Величкова","","42.0117796","24.8726804"
"СКАЙФАРМ ЕООД","гр. София 1000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","бул. Мария Луиза № 100, Централна Автогара-София, партер помещение № 10","2014-04-25T00:00:00","АП-690","ж.к. Красно село, бл. 189, вх. Г, ап. 54","Димитрина Красимирова Пешева","","42.6977082","23.3218675"
"КАЛИФАРМ ЕООД","гр. София 1233","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ж.к. Белите брези, ул. Нишава № 58","2014-06-23T00:00:00","АП-691-1","район Сердика, ж.к. Банишора, бл. 33, вх. 1, ет. 1, ап.1","Тихомир Романов Диков","","42.6772546","23.2924331"
"ИЗВОР-ФАРМА ЕООД","с. Извор 2415","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","с. Извор","община Радомир","2014-04-25T00:00:00","АП-692","област Перник, община Радомир","Иван Клев Добрев","","42.4349057","22.8962528"
"УЛТРАФАРМ ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Стара Загора","ул. Стара планина № 13","2014-04-30T00:00:00","АП-693","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Николина Коева Бенишева","","42.4341377","25.6302781"
"ЧЕРНЕВАФАРМА","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Стара Загора","бул. Христо Ботев № 139","2014-07-05T00:00:00","АП-694","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Мария Кънчева Мезличева","","42.42294070000001","25.633351"
"ЛИДЕРФАРМ 2014 ЕООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Бургас","ул. Сливница № 21-23","2014-07-05T00:00:00","АП-695","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Веселина Николаева Богоева","","42.495634","27.4668925"
"ЛИДЕРФАРМ 2014 ЕООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Стара Загора","ул. Света Троица № 61","2014-07-05T00:00:00","АП-696","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Мария Атанасова Русева","","42.4214752","25.6211798"
"ЛИДЕРФАРМ 2014 ЕООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Бургас","ж.к. Лазур, ул. Копривщица № 9","2014-07-05T00:00:00","АП-697","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Светла Христова Стоева-Стойкова","","42.5078903","27.4720505"
"НОВА-ТРЕЙД 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Стара Загора","ул. Св. Княз Борис № 114","2014-07-05T00:00:00","АП-698","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Николай Ангелов Димов","","42.4263542","25.6324466"
"СУПРА ТРЕЙД ЕООД","гр. София 1612","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ул. Граф Игнатиев № 53","2014-09-05T00:00:00","АП-701","район Красно село, ж.к. Хиподрума, бл. 113, вх. Б, ет. 7, ап. 44","Христо Димитров Минцев","","42.6870292","23.3304957"
"УЛТРАФАРМ ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Стара Загора","ул. Гео Милев № 35","2014-09-05T00:00:00","АП-702","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Виктор Даниелов Стоянов","","42.4233278","25.6340238"
"НОВА ТРЕЙД 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Стара Загора","кв. Железник, ул. Младост № 23","2014-09-05T00:00:00","АП-703","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Явор Йорданов Пашов","","42.4131394","25.5899666"
"ФАРМАСВЯТ ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Берковица","ул. Николаевска, бл. 8","2014-09-05T00:00:00","АП-704","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Веселин Илиев Димитров","","43.2389605","23.1285598"
"АЛФА ХЕЛТ ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Стара Загора","ул. Генерал Столетов № 43","2014-09-05T00:00:00","АП-706","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Светла Денчева Иванова","","42.42636290000001","25.6150875"
"ФАРМАР ООД","гр. Плевен 5800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","с. Горна Митрополия","обл. Плевен, ул. Георги Димитров № 16 Б","2014-09-05T00:00:00","АП-707","ул. Цар Борис № 74, ет. 3, ап. 8","Надка Рашева Атанасова","","43.4611092","24.4620872"
"АВС-ЦЕНТЪР ЗА ЗДРАВОСЛОВЕН НАЧИН НА ЖИВОТ ЕООД","с. Извор 4116","търговия на дребно с лекарствени продукти, включително и приготвяни по магистрална и фармакопейна рецептура","гр. София","район Красно село, ж.к. Борово, бл. 214 А","2014-09-05T00:00:00","АП-708","ж.к. Вилна зона -Руневица","Васил Димитров Шишков","","42.6700876","23.281563"
"ТЕДИ 2002 ЕООД","гр. Пловдив 4002","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Пловдив","ж.к. Тракия, УПИ-II, общ. Мероприятия, кв. 1, по плана на жил. гр. А-4, 5, 6, пред фасадата на същ. търговски обект-магазин Триумф","2014-09-05T00:00:00","АП-709","район Западен, ул. Царевец № 15","Петя Георгиева Тричкова- Пръмова","","42.1354079","24.7452904"
"УЛТРАФАРМ ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Казанлък","ул. Христо Ботев № 74","2014-12-05T00:00:00","АП-710","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Марияна Христова Инджова","","42.6212384","25.3877971"
"ФАРМА МЕНИДЖМЪНТ ЕООД","гр. София 1618","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","район Надежда, бул. Ломско шосе № 172, вх. Ж","2014-05-13T00:00:00","АП-711","ж.к. Манастирски ливади-запад, бул. България № 98, офис 7 В","Биляна Димитрова Божинова","","42.7342761","23.2945139"
"БЕРКУТ ООД","гр. Шумен 9700","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Шумен","бул. Мадара № 30","2014-05-13T00:00:00","АП-712","ул. Неофит Бозвели № 19","Гергана Георгиева Николова","","43.2695981","26.9420621"
"УЛТРАФАРМ ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Стара Загора","ул. Цар Симеон Велики № 167","2014-05-13T00:00:00","АП-714","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Валентина Стоянова Събранска","","42.4285137","25.6472012"
"ФАРМАСВЯТ ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","ж.к. Дружба-1, бл. 198, вх. Б","2014-05-14T00:00:00","АП-715","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Марианна Иванова Мазгалова","","42.7002113","23.2729114"
"ИНВЕСТ ФАРМ ООД","гр. Ямбол 8600","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Бургас","Търговски център Странд-Бургас, УПИ IX-4, 24, 25, 26, 29, 30, масив 81, местност Лъджа Йолу","2014-05-15T00:00:00","АП-716","ул. Стара планина №18","Петя Димитрова Димова","","42.50479259999999","27.4626361"
"ФАРМА ЛЕК ЛОЗЕНЕЦ ООД","гр. Плевен 5800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. София","район Лозенец, ул. Димитър Хаджикоцев № 11","2014-05-15T00:00:00","АП-718","ул. Георги Бенковски № 18-20","Илиана Василева Христова","","42.676632","23.3192162"
"ФАРМЕКСПЕРТ ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Стара Загора","ул. Цар Иван Асен II № 47","2014-05-15T00:00:00","АП-719","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Радка Христова Инджова","","42.4210111","25.624039"
"ДОКТОР ДЖОПОВ ООД","гр. Пазарджик 4400","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Пазарджик","ул. Цар Освободител № 41","2014-05-15T00:00:00","АП-720","ул. Цар Освободител № 41","Вера Томова Тошкина","","42.1905204","24.3246809"
"ЕТ САРКИС САКЪЗ","гр. Стара Загора 6000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Сливен","ул. Цар Освободител № 1 Б, Сити Център Сливен","2014-05-15T00:00:00","АП-721","ул. Иван Вазов, № 15, вх. А, ет. 6, ап. 36","Пенка Илинова Димитрова","","42.6816536","26.3228685"
"АРМИНА 02 ЕООД","гр. Варна 9000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Варна","к.к. Чайка, апарт. Хотел. Никеа парк","2014-05-15T00:00:00","АП-722","ул. Тодор Каблешков № 40, вх. В, ет. 1, ап. 8","Боряна Желева Генчева","","43.2046654","27.9105425"
"ФАРМА 2014 ЕООД","гр. Симеоновград 6490","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Симеоновград","ул. Търговска № 20","2014-05-15T00:00:00","АП-724","ул. Алеко Константинов № 23, вх. В, ет. В, ет. 3, ап.7","Живка Николова Добрева","","42.0349858","25.8310015"
"НОВА-ТРЕЙД 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Стара Загора","ул. Цар Симеон Велики № 85","2014-05-15T00:00:00","АП-725","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Мария Гавраилова Калпачева","","42.42369619999999","25.6221121"
"БОТИКА ЕООД","гр. Варна 9000","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Варна","ул. Граф Игнатиев № 17","2014-05-20T00:00:00","АП-727","ул. Цар Асен № 36, вх. 1, ет.3, ап. 6","Гергана Руменова Савчева","","43.1999528","27.9188425"
"НОВА-ТРЕЙД 2014 ООД","гр. Варна 9020","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Стара Загора","ул. Димитър Наумов, ДКЦ-1","2014-05-20T00:00:00","АП-728","район Младост, бул. Република № 15, сграда на МЦ Младост Варна","Марияна Илиева Балева","","42.4257769","25.6344644"
"ФАРМА ЛЕК 2 ООД","гр. Плевен 5800","търговия на дребно с лекарствени продукти, с изключение на приготвяни по магистрална и фармакопейна рецептура","гр. Плевен","бул. Данаил Попов № 16, аптека 3","2014-05-20T00:00:00","АП-729","ул. Георги Кочев № 57","Пенка Тошкова Бояджиева","","43.4170423","24.6066847"
